,title,theme,key_words,url
0,ROSETTA-ORBITER EARTH RPCMAG 2 EAR2 RAW V3.0,earth science,"unknown,earth,international rosetta mission",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-E-RPCMAG-2-EAR2-RAW-V3.0
1,"Sealed Planetary Return Canister (SPRC), Phase II",,"jet propulsion laboratory,completed",https://techport.nasa.gov/view/9532
2,"Enhanced ORCA and CLARREO Depolarizers Using AR Microstructures, Phase I",,"completed,goddard space flight center",https://techport.nasa.gov/view/9174
3,GPM SSMIS on F17 (GPROF) Climate-based Radiometer Precipitation Profiling L3 1 day 0.25 degree x 0.25 degree V05 (GPM_3GPROFF17SSMIS_DAY_CLIM) at GES DISC,"gpm,geospatial","earth science,atmosphere,atmospheric water vapor,precipitation",https://doi.org/10.5067/GPM/SSMIS/F17/GPROFCLIM/3A-DAY/05
4,NEAR EROS RADIO SCIENCE DATA SET - EROS/ORBIT V1.0,earth science,"near earth asteroid rendezvous,eros",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=NEAR-A-RSS-1%2F5-EROS%2FORBIT-V1.0
5,"A Constraint-Based Geospatial Data Integration System for Wildfire Management, Phase II",,"completed,ames research center",https://techport.nasa.gov/view/5771
6,MODIS/Terra+Aqua BRDF/Albedo Black Sky Albedo Band2 Daily L3 Global 30ArcSec CMG V006,"terra,aqua,geospatial","earth science,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.5067/MODIS/MCD43D43.006
7,"NEW HORIZONS
      LEISA KEM1
      CALIBRATED V2.0",earth science,"new horizons kuiper belt extended mission,vega",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=NH-A-LEISA-3-KEM1-V2.0
8,Goggle-Based Visual Field Device,,"johnson space center,active",https://techport.nasa.gov/view/93196
9,"Highly Accurate Sensor for High-Purity Oxygen Determination, Phase II",,"johnson space center,completed",https://techport.nasa.gov/view/12939
10,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 3 1080 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC3-1080-V1.0
11,ASTEROID OCCULTATIONS V14.0,earth science,"asteroid,satellite,support archives",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=EAR-A-3-RDR-OCCULTATIONS-V14.0
12,VOYAGER 2 JUPITER MAGNETOMETER RESAMPLED DATA 1.92 SEC,earth science,"jupiter,comet sl9/jupiter collision,voyager",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=VG2-J-MAG-4-1.92SEC
13,POLDER/Parasol L2 Radiation Budget subset along CloudSat track V001 (PARASOLRB_CPR) at GES DISC,"atdd,geospatial","earth science,ngda,atmosphere,atmospheric radiation,clouds,national geospatial data asset",https://cmr.earthdata.nasa.gov:443/search/concepts/C1236350976-GES_DISC.html
14,Sentinel-5P TROPOMI Cloud 1-Orbit L2 7km x 3.5km V1 (S5P_L2__CLOUD_) at GES DISC,"copernicus sentinel,geospatial","ngda,earth science,atmosphere,clouds,national geospatial data asset",https://doi.org/10.5270/S5P-ry8kaa5
15,Sounder SIPS: Suomi NPP CrIMSS Level 3 Comprehensive Quality Control Gridded Monthly CHART Normal Spectral Resolution V1,"suomi-npp,geospatial","earth science,atmosphere,air quality,altitude,atmospheric chemistry,atmospheric pressure,atmospheric radiation,atmospheric temperature,atmospheric water vapor,clouds,precipitation,land surface,surface radiative properties,surface thermal properties,oceans,ocean temperature",https://doi.org/10.5067/XHCGUMGNWO9S
16,CATS-ISS Level 2 Operational Night Mode 7.2 Version 3-00 5 km Profile,"cats-iss,geospatial","earth science,atmosphere,clouds,aerosols",https://doi.org/10.5067/ISS/CATS/L2O_N-M7.2-V3-00_05KMPRO
17,GLAS/ICESat L1B Global Backscatter Data (HDF5) V033,geospatial,"earth science,atmosphere,aerosols,atmospheric radiation,land surface,topography",https://doi.org/10.5067/ICESAT/GLAS/DATA107
18,PARABOLA Data (FIFE),"fife,geospatial","earth science,atmosphere,atmospheric radiation,biosphere,vegetation",https://doi.org/10.3334/ORNLDAAC/68
19,"ROSETTA-ORBITER 67P COSIMA 3
                                      V6.0",earth science,"international rosetta mission,calibration,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-COSIMA-3-V6.0
20,Vehicle-Level Reasoning Systems:  Integrating System-Wide data to Estimate Instantaneous Health State,,"dashlink,ames,nasa",https://c3.nasa.gov/dashlink/resources/514/
21,B05,geospatial,"earth science,oceans,ocean chemistry,ocean optics,ocean temperature,salinity/density",https://doi.org/10.5067/SeaBASS/B05/DATA001
22,CATS-ISS Level 2 Operational Night Mode 7.1 Version 2-01 5 km Layer,"cats-iss,geospatial","earth science,atmosphere,aerosols,clouds",https://doi.org/10.5067/ISS/CATS/L2O_N-M7.1-V2-01_05KMLAY
23,Aqua MODIS Global Binned 11µm Nighttime Sea Surface Temperature (NSST) - Near Real Time (NRT) Data,geospatial,"earth science,oceans,ocean temperature,ngda,national geospatial data asset",https://cmr.earthdata.nasa.gov:443/search/concepts/C1641945661-OB_DAAC.html
24,FIRE_AX_UW_DSCRT,"fire,geospatial",,https://cmr.earthdata.nasa.gov:443/search/concepts/C1000001052-LARC_ASDC.html
25,Aerospace Example,,"dashlink,ames,nasa",https://c3.nasa.gov/dashlink/resources/466/
26,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     PRELANDING 0203 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-PRL-0203-V1.0
27,"Lightweight, High-Temperature Radiator Panels, Phase II",,"completed,glenn research center",https://techport.nasa.gov/view/5303
28,Lidar Atmospheric Sensing Experiment (LASE) Validation,"lase,geospatial","earth science,atmosphere,aerosols",https://doi.org/Not provided
29,"Gridded Winter Soil CO2 Flux Estimates for pan-Arctic and Boreal Regions, 2003-2100","above,geospatial","earth science,atmosphere,atmospheric chemistry,land surface,frozen ground,soils",https://doi.org/10.3334/ORNLDAAC/1683
30,"ROSETTA-ORBITER 67P RSI 1/2/3
                                     COMET ESCORT 1 0501 V1.0",earth science,"international rosetta mission,67p/churyumov-gerasimenko 1 (1969 r1)",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=RO-C-RSI-1%2F2%2F3-ESC1-0501-V1.0
31,"Fire Intensity and Burn Severity Metrics for Circumpolar Boreal Forests, 2001-2013","vegetation,carve,geospatial","earth science,biosphere,ecological dynamics,ecosystems,vegetation,human dimensions,natural hazards,land surface,surface radiative properties,ngda,national geospatial data asset",https://doi.org/10.3334/ORNLDAAC/1520
32,MARINER 10 MERC MAG SUMM M1 SUMMARY V1.0,earth science,"mariner 10,mercury",https://pds.nasa.gov/ds-view/pds/viewDataset.jsp?dsid=M10-H-MAG-4-SUMM-M1-SUMMARY-V1.0
33,FIREX-AQ California Air Resources Board (CARB) Surface Mobile In-Situ Measurements,"firex-aq,geospatial","earth science,atmosphere,aerosols,atmospheric chemistry",https://doi.org/10.5067/ASDC/FIREXAQ_SurfaceMobile_CARB_InSitu_Data_1
34,Global Volcano Mortality Risks and Distribution,"ndh,geospatial","earth science,population,natural hazards,human dimensions",https://doi.org/10.7927/H4736NT2
